Mvir,Rvir,Xc,Yc,Zc,isolated
1172904411764.7058,229.08,39769.0050358,51846.06481088,30301.98418469,True
1172386764705.8823,229.05,57567.75321177,10621.46699097,14866.7974485,True
1171373529411.7646,228.99,49667.9086745,41399.67532056,54182.7406195,True
1168308823529.4116,228.78,47578.42904623,11278.37969166,56859.23518942,True
1161098529411.7646,228.31,28409.52235104,41801.54049762,31315.33464673,False
1159873529411.7646,228.23,10456.42386447,41409.43282217,45069.78993513,True
1157210294117.647,228.06,30497.21635638,9565.16989352,27038.24215269,True
1156644117647.0588,228.02,30372.39650855,37772.15398363,11444.90257721,False
1153604411764.7058,227.82,55191.320883,23780.39103678,51212.60042418,False
1153580882352.9412,227.83,36438.24237748,24075.15644079,50977.81935117,True
1153039705882.3528,227.79,25145.78809445,24899.38452106,744.75633841,True
1152073529411.7646,227.71,16128.51032219,17280.80014025,9437.08850496,True
1146864705882.3528,227.37,53720.05252719,21482.81349778,24457.11883128,True
1146700000000.0,227.36,22073.50328902,36390.33475985,25801.82381303,True
1144908823529.4116,227.24,12743.05176194,6732.53029926,29608.97655144,True
1143754411764.7058,227.17,13738.39196088,53574.33383606,34926.49449948,True
1143707352941.1763,227.17,11745.81200268,41430.20746196,32151.50317541,True
1142576470588.235,227.1,34650.54525132,21856.04696068,20431.78011939,True
1142127941176.4705,227.06,34131.59394539,54111.95922682,7866.08157702,True
1140714705882.3528,226.96,42402.4814798,15185.77237835,20558.94723009,True
1139913235294.1177,226.91,26551.23608201,43424.70347635,23825.05790098,True
1139466176470.5881,226.9,10177.97056314,2034.7740276,58080.06224267,True
1136944117647.0588,226.72,39134.10634883,37189.5870489,20190.93530011,True
1136732352941.1763,226.7,35042.1372605,57135.3150134,26039.71547522,True
1136354411764.7058,226.68,51870.07202943,41091.44885004,3879.7721581,False
1133857352941.1763,226.51,19485.88195517,57193.98582201,14551.49504333,True
1133314705882.3528,226.48,50844.41484905,23488.94195524,6986.95587143,True
1129733823529.4116,226.24,10553.39379879,58413.97013861,18310.58726602,True
1129616176470.5881,226.22,31475.36627655,7848.68608504,55399.69260104,False
