Mvir,Rvir,Xc,Yc,Zc,Menv
1161098529411.7646,228.31,28409.52235104,41801.54049762,31315.33464673,54540451813968.74
1159873529411.7646,228.23,10456.42386447,41409.43282217,45069.78993513,31593981593299.418
1157210294117.647,228.06,30497.21635638,9565.16989352,27038.24215269,53937185841270.29
1156644117647.0588,228.02,30372.39650855,37772.15398363,11444.90257721,118547301428353.27
1153604411764.7058,227.82,55191.320883,23780.39103678,51212.60042418,73080700361156.84
1153580882352.9412,227.83,36438.24237748,24075.15644079,50977.81935117,36070545021800.625
1153039705882.3528,227.79,25145.78809445,24899.38452106,744.75633841,35400024319177.14
1152073529411.7646,227.71,16128.51032219,17280.80014025,9437.08850496,82038493103417.1
1146864705882.3528,227.37,53720.05252719,21482.81349778,24457.11883128,48583954416037.41
1146700000000.0,227.36,22073.50328902,36390.33475985,25801.82381303,40421011722961.63
1144908823529.4116,227.24,12743.05176194,6732.53029926,29608.97655144,60893408068332.84
1143754411764.7058,227.17,13738.39196088,53574.33383606,34926.49449948,35908912158256.15
1143707352941.1763,227.17,11745.81200268,41430.20746196,32151.50317541,26639259186203.52
1142576470588.235,227.1,34650.54525132,21856.04696068,20431.78011939,31688171206302.375
1142127941176.4705,227.06,34131.59394539,54111.95922682,7866.08157702,26409970986424.0
1140714705882.3528,226.96,42402.4814798,15185.77237835,20558.94723009,53841535193489.7
1139913235294.1177,226.91,26551.23608201,43424.70347635,23825.05790098,44694797663374.164
1139466176470.5881,226.9,10177.97056314,2034.7740276,58080.06224267,42577593315050.305
1136944117647.0588,226.72,39134.10634883,37189.5870489,20190.93530011,28210625654620.594
1136732352941.1763,226.7,35042.1372605,57135.3150134,26039.71547522,25836137794971.668
1136354411764.7058,226.68,51870.07202943,41091.44885004,3879.7721581,80482938801706.25
1133857352941.1763,226.51,19485.88195517,57193.98582201,14551.49504333,41589085462598.98
1133314705882.3528,226.48,50844.41484905,23488.94195524,6986.95587143,34497175521833.58
1129733823529.4116,226.24,10553.39379879,58413.97013861,18310.58726602,34621669823933.81
1129616176470.5881,226.22,31475.36627655,7848.68608504,55399.69260104,49776865746894.484
1127588235294.1177,226.09,8617.19562308,33730.46832809,14996.97007033,59270269125618.14
1126976470588.235,226.05,52054.33976818,54300.17319592,40341.33194499,36119560382082.375
1125798529411.7646,225.97,34288.89539719,11033.26870748,40488.17944674,56446560202002.33
1125444117647.0588,225.95,26549.95092591,26936.91795548,49542.27106571,41797400743796.41
1124808823529.4116,225.9,17060.13591356,27908.46751333,13399.01238386,45201258299516.16
1124430882352.9412,225.88,17603.53117686,54996.7473891,42392.87641589,42378916150369.82
1123464705882.3528,225.81,35187.36048077,52862.4870585,28264.57491282,38004106724607.34
